seed,condition,bunch_crossings,elapsed_wall_clock,elapsed_seconds,user_seconds,system_seconds,max_rss_kbytes,root_file,root_size_bytes,root_sha256,simulation_log_sha256,resource_log_sha256,root_audit_log_sha256,wall_time_ratio_on_over_off,max_rss_ratio_on_over_off,root_size_ratio_on_over_off
1512,off,1000,29:18.90,1758.900000,1757.730000,0.330000,174272,seed-1512/paired-off-1000.root,314854277,78e2f09d86d29cedfaae1e211e78bbbf0aecefcb6b98de5f64367e497850c767,ceef959b4938fd054b4c204c6cea2da0eb306ded3377f3cc1ede7b897faa7134,daa17c95031af39a85e209d5085c661c254644d01c2d91a461d4023507a31cbc,dc42d15ed532a1e81110bebfc427fc936d7e3d1f2848b4be7ae1f2e73183b877,0.89899937460913071,0.99692434814542785,0.99999966651239103
1512,on,1000,26:21.25,1581.250000,1580.550000,0.290000,173736,seed-1512/paired-on-1000.root,314854172,d91e19f9859806d8182f69b3c7c925f0249943d0e3bd2b6f01ebc7cc37125ab6,eaae902e0dfd79467c6843015a015212338a471da72cb04bb31b8d2525093cb8,28c2d40b2f1f1b248ab9edf65effc7c33a67321be99a862307615368150527f7,e3418e50c286d90358d062592c0fcea34af704ff83a7bbcf488c4580824d6718,0.89899937460913071,0.99692434814542785,0.99999966651239103
2512,off,1000,27:16.22,1636.220000,1636.290000,0.250000,173220,seed-2512/paired-off-1000.root,292995238,0cbf8976de2c26a0b1c25ee26635a45916ffa4e3bc97b510ce878e89ae8be59e,d19383a8cd4772e4ab86b7a102c40e6e8e1f6f49112a57f81dcb202a8049fcfe,e17e012c38a35ccedd2023f245d2ae54bac9800df5dcf3c6ea856e452e3dac59,a6c5bae17cb00bf486c29c32654dced6020974f8be50ea997a47c2b5bfb2e8a4,1.0063744484238062,0.999168687218566,0.99999964845845035
2512,on,1000,27:26.65,1646.650000,1645.910000,0.340000,173076,seed-2512/paired-on-1000.root,292995135,be58bbca18a74fbcafb06b921c76a48012bb2079ae1c8d2a7e64f4b3336032a2,b574ff0ea96a32522055becc9b3d771b6c7a990e18525a9de2271c94c2ac3759,6f98a08a990e3dcbc601fbc7fb70d8ee8cd3dca08ab1715862f95e50a7cda02b,144555ffae19bb5118bdb280b43039faf6bc83d234ac21d24be9ac0b0752500f,1.0063744484238062,0.999168687218566,0.99999964845845035
3512,off,1000,23:11.36,1391.360000,1390.720000,0.310000,173556,seed-3512/paired-off-1000.root,305764253,af3482a12c54fcad4a0b46cc4853d1fbf1830c351ed357892d4f78040aead92f,d392e400bad56dde33b0f5cd0d83f418d8a4328016f7630c29fec54658935ad7,5f9be49278dcd0fe1fbabb7fd8c95e5dea5105ffa8aaf08d1014abfb8bf50f9f,730b7b006cd0bb4297202b87d7a7c59b2e291e269ab3579a9b31f57a98a7f3bb,0.99118129024839008,1.0011523658070018,0.99999689630167465
3512,on,1000,22:59.09,1379.090000,1378.640000,0.400000,173756,seed-3512/paired-on-1000.root,305763304,dce084d36f365478beb813281ecf4b4a7f30f7d333249f64c1ea6bd17b385ee1,1531529e1a446640687af27bbf2a01dd830c3dd42ac6f63304fc350324a35740,60679924081d99f4b77453c6e50fe2223e95d050390effc4d00105118733dd9d,0d5cd5914570be246e59bde17c1c496c41ca237c471c5f4d930a77c6b107d1e6,0.99118129024839008,1.0011523658070018,0.99999689630167465
