schema_version,git_commit,generator_mode,single_particle_pdg,single_particle_kinetic_energy_gev,single_particle_eta,single_particle_phi,event_count,hit_count,mean_energy_mev,sample_stddev_energy_mev,mean_response,relative_resolution,sampling_centroid,sampling_width,eta_width,phi_width
2,a77bb1f9f36a7131cfb06eecf4e5a621d702ed20,single_particle,11,1,0,0,100,5118,242.94671293694626,15.454124676884843,0.24294671293694625,0.063611170079488855,1.4232649144434451,0.52040805738632379,0.038771987856930451,0.11706161384420924
2,a77bb1f9f36a7131cfb06eecf4e5a621d702ed20,single_particle,11,10,0,0,100,15643,2317.7940506259924,50.672808400181566,0.23177940506259925,0.021862515518363591,1.7351764922208517,0.45761573274918105,0.037566550667418146,0.095038812496396716
2,a77bb1f9f36a7131cfb06eecf4e5a621d702ed20,single_particle,11,100,0,0,100,56456,22744.741435139164,220.54801196430799,0.22744741435139162,0.0096966594495365641,1.9181350067753729,0.32652828028640024,0.03246490592900729,0.074791400882384979
2,a77bb1f9f36a7131cfb06eecf4e5a621d702ed20,single_particle,22,1,0,0,100,4505,235.74587038199678,13.446432718880876,0.23574587038199679,0.057037829324825963,1.551342379475892,0.50628800182977318,0.039544809045522586,0.11172464177229813
2,a77bb1f9f36a7131cfb06eecf4e5a621d702ed20,single_particle,22,10,0,0,100,14714,2306.0007910818945,53.496006871578963,0.23060007910818944,0.023198607337198925,1.8168783223534488,0.4068910776678431,0.034186341545149559,0.082868077872361876
2,a77bb1f9f36a7131cfb06eecf4e5a621d702ed20,single_particle,22,100,0,0,100,51725,22579.559247311692,318.44331575592241,0.22579559247311692,0.014103167925823711,1.95784501378431,0.28946741239387613,0.029511058297973982,0.065476883009600473
2,a77bb1f9f36a7131cfb06eecf4e5a621d702ed20,single_particle,211,1,0,0,100,15574,201.38674265963382,59.3970865940409,0.20138674265963383,0.29494040079107209,2.369224806385215,1.1732472168358761,0.18740036323476419,0.3654113743816636
2,a77bb1f9f36a7131cfb06eecf4e5a621d702ed20,single_particle,211,10,0,0,100,86548,1444.8018761120984,433.05341599590611,0.14448018761120984,0.2997320415732258,2.8209415050434141,1.310900498859463,0.1882430234077431,0.38163070918575281
2,a77bb1f9f36a7131cfb06eecf4e5a621d702ed20,single_particle,211,100,0,0,100,195822,11295.974738166369,3819.7107101639799,0.11295974738166369,0.33814795081455878,3.5148628497206573,1.3962119552174643,0.11124136574397739,0.20983178473550312
